id,sales_note,label
1,Need emergency stock replenishment by friday.,Urgent Need
2,They are requesting a repeat of the previous order. ASAP,Repeat Order
3,Exploring samples for a new product line.,New Product Demand
4,Customized dimension required for part 780Y.,Custom Spec
5,inventory outage pls expedite shipping if possible,Urgent Need
6,Requestfor custom color matching on containers.,Custom Spec
7,"running low on supplies again, please arrange dispatch",Stocking Issue
8,Need urgent delivery due to market launch next week.,Urgent Need
9,demo units requested to evaluate updated models,New Product Demand
10,Rush request for product A45 due to customer escalation,Urgent Need
11,trialsamples needed for our new eco friendly line,New Product Demand
12,interest shown in 2025X prototype by client,New Product Demand
13,Request for non-standard dimension for container.,Custom Spec
14,Exploringsamples for a new product line.,New Product Demand
15,custom size requested for container 560Z special handling needed,Custom Spec
16,inventory outage pls expedite shipping if possible,Urgent Need
17,Trial order to test new technology batch.,New Product Demand
18,Placing a repeat request for item series 100X. ASAP,Repeat Order
19,"Out of stock reported, needs restocking.",Stocking Issue
20,Exploringsamples for a new product line.,New Product Demand
21,inventory outage pls expedite shipping if possible,Urgent Need
22,Rush request for product A45 due to customer escalation,Urgent Need
23,"Warehouse backorder increasing, please resupply.",Stocking Issue
24,"running low on supplies again, please arrange dispatch",Stocking Issue
25,interest shown in 2025X prototype by client,New Product Demand
26,Client wants another batch of 1000 units like last time.,Repeat Order
27,Exploring samples for a new product line.,New Product Demand
28,Need emergency stock replenishment by Friday.,Urgent Need
29,Exploringsamples for a new product line.,New Product Demand
30,client needs same order as last month for product 450X,Repeat Order
31,"running low on supplies again, please arrange dispatch",Stocking Issue
32,They are requesting a repeat of the previous order.,Repeat Order
33,First order placed for updated product variant. ASAP,New Product Demand
34,"Delivery needed immediately, client facing outage.",Urgent Need
35,Repeatpurchase request for Model 500Y,Repeat Order
36,trial samples needed for our new eco friendly line,New Product Demand
37,Rush request for product A45 due to customer escalation,Urgent Need
38,Client wants another batch of 1000 units like last time.,Repeat Order
39,Customized dimension required for part 780Y.,Custom Spec
40,Repeat purchase request for Model 500Y,Repeat Order
41,"Inventory running low, client requests immediate resupply.",Stocking Issue
42,Client exploring samples of 2024 line.,New Product Demand
43,critical shortage reported need shipment by next week,Urgent Need
44,Specificationchange: needs reinforced packaging.,Custom Spec
45,Need emergency stock replenishment by Friday.,Urgent Need
46,demo units requested to evaluate updated models,New Product Demand
47,Request for custom color matching on containers.,Custom Spec
48,Client exploring samples of 2024 line.,New Product Demand
49,"Another batch required urgently, same spec as previous",Repeat Order
50,"Inventory running low, client requests immediate resupply. ASAP",Stocking Issue
51,"Warehouse backorder increasing, please resupply.",Stocking Issue
52,trialsamples needed for our new eco friendly line,New Product Demand
53,"Out of stock reported, needs restocking.",Stocking Issue
54,Wants special coating on the exterior.,Custom Spec
55,Trial samples needed for our new eco friendly line,New Product Demand
56,First order placed for updated product variant.,New Product Demand
57,Client exploring samples of 2024 line.,New Product Demand
58,Trialorder to test new technology batch. ASAP,New Product Demand
59,Demounits requested to evaluate updated models,New Product Demand
60,Requestfor non-standard dimension for container.,Custom Spec
61,Specification change: needs reinforced packaging.,Custom Spec
62,"Another batch required urgently, same spec as previous",Repeat Order
63,interest shown in 2025X prototype by client,New Product Demand
64,"Delivery needed immediately, client facing outage.",Urgent Need
65,"Backorders causing delays, need resupply ASAP.",Stocking Issue
66,Clientexploring samples of 2024 line.,New Product Demand
67,criticalshortage reported need shipment by next week,Urgent Need
68,Customizeddimension required for part 780Y.,Custom Spec
69,Need emergency stock replenishment by Friday.,Urgent Need
70,Request for non-standard dimension for container.,Custom Spec
71,Trial order to test new technology batch.,New Product Demand
72,Placing a repeat request for item series 100X.,Repeat Order
